Assay_Type	AvgSpotLen	BioSample	DATASTORE_provider	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	age	biomaterial_provider	cell_line	disease	disease_stage	ethnicity	sex	tissue	AssemblyName	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_region	InsertSize	Organism	Platform	ReleaseDate	SRA_Study	isolate	sample_type
RNA-Seq	202	SAMN10988018	ncbi	SRX5415039	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-SUIT2_PANCREAS	24/02/2019	9272	4411	SRR8616011	SRS4395956	SUIT2_PANCREAS	73	HSSRB	SUIT-2	carcinoma (ductal_carcinoma)	metastasis	Asian	male	pancreas	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10989608	ncbi	SRX5414703	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-MON_SOFT_TISSUE	23/02/2019	9804	4449	SRR8615697	SRS4395695	MON_SOFT_TISSUE	NA	NA	MON	NA	NA	NA	NA	soft_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	198	SAMN10988325	ncbi	SRX5414249	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-SW48_LARGE_INTESTINE	23/02/2019	9553	4468	SRR8615504	SRS4395319	SW48_LARGE_INTESTINE	82	NIBRI	SW48	carcinoma (adenocarcinoma)	primary	Caucasian	female	large_intestine	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10989570	ncbi	SRX5417209	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	25/02/2019	9538	4479	SRR8618307	SRS4397849	WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	41	DSMZ:WSU-DLCL2	WSU-DLCL2	lymphoid_neoplasm (diffuse_large_B_cell_lymphoma)	metastasis	Caucasian	male	haematopoietic_and_lymphoid_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10988508	ncbi	SRX5414226	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-CAL78_BONE	23/02/2019	9492	4534	SRR8615527	SRS4395297	CAL78_BONE	76	DSMZ:CAL-78	CAL-78	chondrosarcoma (dedifferentiated)	primary	Caucasian	male	bone	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10989557	ncbi	SRX5414385	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	23/02/2019	9659	4559	SRR8615368	SRS4395428	SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	17	DSMZ:SU-DHL-5	SU-DHL-5	lymphoid_neoplasm (diffuse_large_B_cell_lymphoma)	primary	Caucasian	female	haematopoietic_and_lymphoid_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10989599	ncbi	SRX5415200	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	24/02/2019	9985	4624	SRR8616202	SRS4396091	C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	C8166	NA	NA	NA	NA	haematopoietic_and_lymphoid_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10988151	ncbi	SRX5415125	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-SW1088_CENTRAL_NERVOUS_SYSTEM	23/02/2019	9837	4660	SRR8615925	SRS4396026	SW1088_CENTRAL_NERVOUS_SYSTEM	72	NIBRI	SW 1088	glioma	primary	Caucasian	male	central_nervous_system	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10989621	ncbi	SRX5414541	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-SKPNDW_BONE	23/02/2019	10418	4780	SRR8615859	SRS4395566	SKPNDW_BONE	NA	NA	SKPNDW	NA	NA	NA	NA	bone	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10987862	ncbi	SRX5417199	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-VMRCRCW_KIDNEY	25/02/2019	10113	4851	SRR8618317	SRS4397839	VMRCRCW_KIDNEY	NA	NA	VMRC-RCW	carcinoma	primary	Caucasian	male	kidney	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10988340	ncbi	SRX5414822	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-MDAMB468_BREAST	23/02/2019	10301	4878	SRR8615578	SRS4395785	MDAMB468_BREAST	51	ATCC:MDA-MB-468	MDA-MB-468	carcinoma	metastasis	African_american	female	breast	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10989627	ncbi	SRX5414670	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-TTC549_SOFT_TISSUE	23/02/2019	10718	4893	SRR8615730	SRS4395667	TTC549_SOFT_TISSUE	NA	NA	TTC549	NA	NA	NA	NA	soft_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10988062	ncbi	SRX5415028	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-SNU81_LARGE_INTESTINE	24/02/2019	10228	4899	SRR8616022	SRS4395194	SNU81_LARGE_INTESTINE	53	KCLB:SNU-81	SNU-81	carcinoma	primary	Asian	male	large_intestine	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10988530	ncbi	SRX5414290	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-TE441T_SOFT_TISSUE	23/02/2019	10290	4910	SRR8615463	SRS4395353	TE441T_SOFT_TISSUE	14	ATCC:TE 441.T	TE 441.T	rhabdomyosarcoma	primary	African_american	female	soft_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10988003	ncbi	SRX5415095	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-COV644_OVARY	24/02/2019	10495	4993	SRR8615955	SRS4396002	COV644_OVARY	NA	ECACC:COV644	COV644	carcinoma	primary	Caucasian	female	ovary	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10987753	ncbi	SRX5414287	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-SNUC5_LARGE_INTESTINE	23/02/2019	10419	5012	SRR8615466	SRS4395196	SNUC5_LARGE_INTESTINE	77	KCLB:SNU-C5	SNU-C5	carcinoma (adenocarcinoma)	primary	Asian	female	large_intestine	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10987734	ncbi	SRX5417207	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-YD10B_UPPER_AERODIGESTIVE_TRACT	25/02/2019	10370	5028	SRR8618309	SRS4397847	YD10B_UPPER_AERODIGESTIVE_TRACT	67	KCLB:YD-10B	YD-10B	carcinoma (squamous_cell_carcinoma)	primary	Asian	male	upper_aerodigestive_tract	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10989622	ncbi	SRX5414379	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-STM9101_SOFT_TISSUE	23/02/2019	10984	5044	SRR8615374	SRS4395422	STM9101_SOFT_TISSUE	NA	NA	STM9101	NA	NA	NA	NA	soft_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10987745	ncbi	SRX5414566	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-TE14_OESOPHAGUS	23/02/2019	10657	5060	SRR8615834	SRS4395586	TE14_OESOPHAGUS	NA	RIKEN:TE-14	TE-14	carcinoma (squamous_cell_carcinoma)	primary	Asian	NA	oesophagus	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10988328	ncbi	SRX5414992	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-SW403_LARGE_INTESTINE	24/02/2019	10883	5112	SRR8616058	SRS4395258	SW403_LARGE_INTESTINE	51	NIBRI	SW403	carcinoma (adenocarcinoma)	primary	Caucasian	female	large_intestine	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10988532	ncbi	SRX5414337	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-HS274T_FIBROBLAST	23/02/2019	11191	5113	SRR8615416	SRS4395388	HS274T_FIBROBLAST	66	ATCC:Hs 274.T	Hs 274.T	carcinoma	primary	Caucasian	female	breast	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10989607	ncbi	SRX5414973	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-KPMRTRY_SOFT_TISSUE	24/02/2019	11179	5121	SRR8616077	SRS4395907	KPMRTRY_SOFT_TISSUE	NA	NA	KPMRTRY	NA	NA	NA	NA	soft_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10987866	ncbi	SRX5415154	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	23/02/2019	10784	5150	SRR8615896	SRS4396051	U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	53	ATCC:U266B1	U266B1	lymphoid_neoplasm (plasma_cell_myeloma)	primary	Caucasian	male	haematopoietic_and_lymphoid_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10987996	ncbi	SRX5414546	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-SW837_LARGE_INTESTINE	23/02/2019	10781	5164	SRR8615854	SRS4395252	SW837_LARGE_INTESTINE	53	ATCC:SW837	SW837	carcinoma (adenocarcinoma)	primary	Caucasian	male	large_intestine	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10987739	ncbi	SRX5414728	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-TGBC11TKB_STOMACH	23/02/2019	10944	5190	SRR8615672	SRS4395250	TGBC11TKB_STOMACH	NA	RIKEN:TGBC11TKB	TGBC11TKB	carcinoma	metastasis	Asian	female	stomach	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10989606	ncbi	SRX5414389	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-KD_SOFT_TISSUE	23/02/2019	11423	5223	SRR8615364	SRS4395430	KD_SOFT_TISSUE	NA	NA	KD	NA	NA	NA	NA	soft_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10987727	ncbi	SRX5414417	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-UBLC1_URINARY_TRACT	23/02/2019	11068	5239	SRR8615336	SRS4395455	UBLC1_URINARY_TRACT	NA	ECACC:U-BLC1	U-BLC1	carcinoma (transitional_cell_carcinoma)	primary	African_american	female	urinary_tract	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10988092	ncbi	SRX5414282	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-SNU878_LIVER	23/02/2019	11024	5254	SRR8615471	SRS4395347	SNU878_LIVER	54	KCLB:SNU-878	SNU-878	carcinoma (hepatocellular_carcinoma)	primary	Asian	female	liver	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10987992	ncbi	SRX5417213	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-WM88_SKIN	25/02/2019	10976	5288	SRR8618303	SRS4397853	WM88_SKIN	NA	GNF	WM-88	malignant_melanoma	primary	Caucasian	NA	skin	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10988028	ncbi	SRX5414839	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-SW1573_LUNG	23/02/2019	11092	5291	SRR8615561	SRS4395259	SW1573_LUNG	44	ATCC:SW 1573	SW 1573	carcinoma (squamous_cell_carcinoma)	primary	Caucasian	female	lung	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10989628	ncbi	SRX5414675	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-TTC642_SOFT_TISSUE	23/02/2019	11546	5303	SRR8615725	SRS4395672	TTC642_SOFT_TISSUE	NA	NA	TTC642	NA	NA	NA	NA	soft_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10988348	ncbi	SRX5415018	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-HT29_LARGE_INTESTINE	24/02/2019	10694	5376	SRR8616032	SRS4395943	HT29_LARGE_INTESTINE	44	NIBRI	HT-29	carcinoma (adenocarcinoma)	primary	Caucasian	female	large_intestine	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10988158	ncbi	SRX5414791	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-NCIH1836_LUNG	23/02/2019	11731	5417	SRR8615609	SRS4395767	NCIH1836_LUNG	52	ATCC:NCI-H1836	NCI-H1836	carcinoma (small_cell_carcinoma)	primary	Caucasian	male	lung	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10989596	ncbi	SRX5414699	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	23/02/2019	10359	5434	SRR8615701	SRS4395693	MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	29	DSMZ:MUTZ-3	MUTZ-3	haematopoietic_neoplasm (acute_myeloid_leukaemia, M4)	primary	Caucasian	male	haematopoietic_and_lymphoid_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10988134	ncbi	SRX5417215	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-ZR751_BREAST	25/02/2019	11481	5465	SRR8618301	SRS4397855	ZR751_BREAST	63	ATCC:ZR-75-1	ZR-75-1	carcinoma (ductal_carcinoma)	metastasis	Caucasian	female	breast	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10987720	ncbi	SRX5414972	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-KPNRTBM1_AUTONOMIC_GANGLIA	24/02/2019	11572	5475	SRR8616078	SRS4395906	KPNRTBM1_AUTONOMIC_GANGLIA	NA	HSSRB	KP-N-RT-BM-1	neuroblastoma	metastasis	Asian	NA	autonomic_ganglia	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10988450	ncbi	SRX5414393	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	23/02/2019	11538	5503	SRR8615360	SRS4395434	KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	15	DSMZ:KASUMI-2	KASUMI-2	lymphoid_neoplasm (acute_lymphoblastic_B_cell_leukaemia, L2)	primary	Asian	male	haematopoietic_and_lymphoid_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10989620	ncbi	SRX5414254	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-SKNEP1_BONE	23/02/2019	12034	5507	SRR8615499	SRS4395324	SKNEP1_BONE	NA	NA	SKNEP1	NA	NA	NA	NA	bone	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10987722	ncbi	SRX5414283	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-TE4_OESOPHAGUS	23/02/2019	11535	5521	SRR8615470	SRS4395348	TE4_OESOPHAGUS	NA	RIKEN:TE-4	TE-4	carcinoma (squamous_cell_carcinoma)	primary	Asian	NA	oesophagus	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10989561	ncbi	SRX5414672	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-TT2609C02_THYROID	23/02/2019	11681	5540	SRR8615728	SRS4395669	TT2609C02_THYROID	57	DSMZ:TT2609-C02	TT2609-C02	carcinoma (follicular_carcinoma)	primary	Caucasian	male	thyroid	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
