pV	pVAF	mean_iVAF	sd_iVAF	mean_noZero_iVAF	sd_noZero_iVAF	intraVAR	colr
chr13_11011	80	0.747663551401869	0.039411786414778	0.111190104728679	0.0527132643297656	0.126010358705708	0	black
chr13_11012	80	0.747663551401869	0.0394325564712593	0.111241286333379	0.0527410442803093	0.12606798636148	0	black
chr13_11016	17	0.158878504672897	0.0121084370536495	0.0426392429899216	0.0762119273376761	0.0827898224762482	0	black
chr13_11026	27	0.252336448598131	0.0458114802253613	0.113141613747978	0.181549199411617	0.163088652156357	0	black
chr13_11029	31	0.289719626168224	0.0225813093667329	0.0535462031595835	0.077941938781949	0.0753127709542997	0	black
chr13_11046	96	0.897196261682243	0.0673578710084749	0.0578282505187029	0.0750759603948627	0.0560872224623539	0	black
chr13_11047	61	0.570093457943925	0.0177016445938106	0.0456522826154183	0.0310504257629137	0.0571014113348752	0	black
chr13_11067	64	0.598130841121495	0.0244139976486716	0.101194090828818	0.0408171523188729	0.12864470216961	0	black
chr13_11068	78	0.742857142857143	0.0323620215942154	0.108532411410049	0.0435642598383668	0.12415847785428	0	black
chr13_11071	80	0.747663551401869	0.0329876573933252	0.107728433934399	0.0441209917635724	0.122777814159836	0	black
chr13_11077	80	0.747663551401869	0.0488427540156156	0.109082412498132	0.0653271834958858	0.121963918714166	0	black
chr13_11083	22	0.205607476635514	0.00931865191804237	0.0270405771383844	0.0453225343286606	0.0445116997707486	0	black
chr13_11088	56	0.523364485981308	0.0226631726133955	0.102152284701423	0.0433028476720236	0.138568597197254	0	black
chr13_11096	76	0.710280373831776	0.164056031167206	0.246069543100707	0.230973622827513	0.26441513402483	0	black
chr13_11099	55	0.514018691588785	0.0230020954408277	0.104066291505815	0.0447495311303375	0.142363173145328	0	black
chr13_11120	40	0.377358490566038	0.0174808589762605	0.0340063867524888	0.0463242762870903	0.041750046335904	0	black
chr13_11135	37	0.349056603773585	0.0436461817096475	0.115848319365502	0.125040412465477	0.16936297744108	0	black
chr13_11166	24	0.226415094339623	0.00971513439485915	0.030599599382136	0.0429085102439613	0.0528050336297878	0	black
chr13_11167	55	0.518867924528302	0.0317209566892921	0.0414992729627674	0.0611349347102721	0.0389509959228235	0	black
chr13_11174	54	0.509433962264151	0.0321142865679644	0.0426446341036933	0.0630391551148932	0.0402064287242422	0	black
chr13_11185	33	0.311320754716981	0.00975849044999472	0.0199024918295533	0.0313454541727103	0.0245343566494172	0	black
chr13_11189	16	0.150943396226415	0.00624235020831746	0.0203066120416566	0.0413555701301031	0.0365728551985218	0	black
chr13_11196	32	0.30188679245283	0.0104765561188144	0.0215370020818744	0.0347035921435727	0.0265177800944174	0	black
chr13_11213	51	0.481132075471698	0.0214750760500807	0.0363575684227063	0.0446344717903637	0.0414915810450284	0	black
chr13_11230	37	0.352380952380952	0.0183149641021499	0.0347558157648581	0.0519748981277227	0.0411292303171403	0	black
chr13_11248	39	0.364485981308411	0.00931248210454075	0.0223163693561013	0.025549630389381	0.0310393993338631	0	black
chr13_11264	18	0.168224299065421	0.00844704103981972	0.0240451149492706	0.0502129661811505	0.0372087298819508	0	black
chr13_11285	52	0.485981308411215	0.0141593191562429	0.0428589799168586	0.0291355221099614	0.0580771824705882	0	black
chr13_11286	88	0.822429906542056	0.0993239047611958	0.115865991549437	0.120768838743727	0.117205632619703	0	black
chr13_11291	63	0.588785046728972	0.0158420130706893	0.0431365147788603	0.0269062761676787	0.05365442931932	0	black
chr13_11295	73	0.682242990654206	0.0175951038521778	0.0432553169428585	0.0257900837285347	0.0504011527360237	0	black
chr13_11299	73	0.682242990654206	0.0164509356960844	0.0382346911706028	0.0241130153353566	0.0443272762065336	0	black
chr13_11309	72	0.672897196261682	0.0148579198989673	0.0365055165753746	0.0220805198498541	0.0427535880467937	0	black
chr13_11313	57	0.532710280373832	0.0273229019132067	0.0403734009667679	0.0512903597318091	0.0428267160847509	0	black
chr13_11324	69	0.644859813084112	0.0124099083704119	0.0323588752503239	0.0192443506613634	0.0387140872889439	0	black
chr13_11325	25	0.233644859813084	0.00452323747057517	0.0136609004964769	0.0193594563740617	0.0229139814817106	0	black
chr13_11327	69	0.644859813084112	0.0123693973625845	0.0324134754011651	0.0191815292434282	0.0387964349311197	0	black
chr13_11347	54	0.504672897196262	0.0105002719022901	0.0216464834545944	0.0208060943249081	0.02680803693417	0	black
chr13_11373	36	0.339622641509434	0.0585507409388294	0.145090536108773	0.172399403875442	0.207281367557131	0	black
chr13_11386	25	0.233644859813084	0.0199073117755942	0.0538909634761078	0.0852032943995433	0.0838558260098901	0	black
chr13_11420	76	0.710280373831776	0.0690884192393014	0.0860658635266198	0.0972692218237533	0.0877003841554588	0	black
chr13_11431	61	0.570093457943925	0.0175022018963039	0.0243163471987161	0.0307005836541724	0.0251525688339171	0	black
chr13_11465	54	0.504672897196262	0.0138836575680724	0.0226277069429081	0.0275102103663657	0.0253393745510027	0	black
chr13_11477	62	0.579439252336449	0.0185247804597345	0.0295297989449511	0.0319701856321225	0.0328389329545396	0	black
chr13_11497	32	0.299065420560748	0.00682329721024105	0.0184045131964327	0.0228154000467435	0.0279569069739435	0	black
chr13_11499	33	0.308411214953271	0.0119508598837172	0.0265332802182317	0.0387497578047801	0.0355126338174356	0	black
chr13_11563	104	0.97196261682243	0.164016524985503	0.116092645970225	0.168747770898546	0.114297473856239	0	black
chr13_11587	104	0.97196261682243	0.260271902063748	0.194782341178737	0.26777974539251	0.192393467561506	0	black
chr13_11994	21	0.19811320754717	0.0704628141665801	0.183326211015961	0.355669442936071	0.264449194031263	0	red
chr13_12080	16	0.16	0.0113781538811952	0.0410088646501951	0.0704023271398954	0.0809618089188856	0	black
chr13_12091	66	0.673469387755102	0.0406012175711795	0.0454744376730334	0.0602866563935696	0.0433699473813284	0	black
chr13_12095	28	0.301075268817204	0.0701617010391695	0.175901096929405	0.233037078451527	0.257035951079684	0	black
chr13_998996	27	0.252336448598131	0.00394902262731047	0.0163639478028678	0.0156498304119341	0.0300259046765931	0	black
chr13_999054	19	0.177570093457944	0.0062526836891788	0.0278212443384683	0.0352124818285332	0.0590061731818799	0	black
chr13_999057	15	0.14018691588785	0.00892247621471946	0.0392006801935416	0.0636469969983321	0.088899510515567	0	black
chr13_999082	37	0.345794392523364	0.0115024447644979	0.0391389648989337	0.0332638267513857	0.0613718030816409	0	black
chr13_999084	14	0.130841121495327	0.00386020059552296	0.0170821247041682	0.029502961694354	0.039554411179869	0	black
chr13_999085	9	0.0841121495327103	0.00411292225099746	0.0296434358954336	0.0488980756507476	0.0958100715922173	0	black
chr13_999123	23	0.214953271028037	0.00236150011186855	0.0139842747972002	0.0109861092160841	0.0290376582811705	0	black
chr13_999124	12	0.11214953271028	0.00201887000998888	0.0111552321123076	0.0180015909224008	0.0297535066298792	0	black
chr13_999231	48	0.475247524752475	0.00772690967884227	0.0260533405890203	0.0162587057825639	0.0360906923162409	0	black
chr13_999258	15	0.148514851485149	0.00381223241173867	0.0178007167084607	0.0256690315723737	0.0407701821342217	0	black
chr13_999266	53	0.524752475247525	0.0153395107584095	0.0443920439079637	0.0292318978603653	0.0581017032171577	0	black
chr13_999292	23	0.232323232323232	0.00666133615088908	0.0262472831622439	0.0286727077799139	0.0490816843187125	0	black
chr13_999328	87	0.935483870967742	0.227346578090789	0.195334250021629	0.243025652441878	0.192257000552176	0	black
chr13_999353	7	0.0804597701149425	0.00185521219201351	0.0155479574860682	0.0230576372435964	0.0538011890704264	0	black
chr13_999403	54	0.683544303797468	0.0381681463727341	0.0561716627259021	0.0558385845082591	0.0603181130553663	0	black
chr13_999558	69	0.811764705882353	0.228361239039845	0.245104247636915	0.281314569831693	0.243096756517176	0	black
chr13_999565	6	0.0705882352941176	0.00187104597945816	0.0143645285695013	0.0265064847089906	0.0517967951250188	0	black
chr13_999567	19	0.223529411764706	0.00338344964208798	0.0168591831594712	0.0151364852409199	0.0337436409020766	0	black
chr13_999574	13	0.152941176470588	0.00570799716198132	0.0239528463662198	0.0373215199052625	0.0523257600528238	0	black
chr13_999653	32	0.355555555555556	0.00367752135708738	0.0127586536315998	0.0103430288168083	0.0199042704432391	0	black
chr13_999795	53	0.616279069767442	0.0351198579626712	0.0665187224726375	0.0569869393356552	0.077218175078406	0	black
chr13_999843	89	0.864077669902913	0.157489731862297	0.311454955684467	0.182263397548501	0.328435733480536	0	black
chr13_999847	89	0.864077669902913	0.143619908705099	0.285862149813431	0.166211804456463	0.301529296564784	0	black
chr13_999852	89	0.855769230769231	0.135571321707118	0.274162137812055	0.158420420871239	0.290372476836237	0	black
chr13_999857	87	0.828571428571429	0.132631168810375	0.275073422966183	0.160072100288383	0.295057157622544	0	black
chr13_999863	87	0.828571428571429	0.123240951110985	0.263066293184676	0.148739078927051	0.282580499735672	0	black
chr13_999864	87	0.828571428571429	0.124934572375335	0.265843627219901	0.150783104590922	0.285520543418309	0	black
chr13_999878	38	0.358490566037736	0.00237251804185511	0.00876612476563459	0.00661807664306952	0.0137556048856676	0	black
chr13_999881	81	0.764150943396226	0.129186217196673	0.269802766291258	0.169058506454906	0.297853156143843	0	black
chr13_999888	81	0.764150943396226	0.124212645217778	0.263767860971248	0.162549881396105	0.291557179251351	0	black
chr13_999897	38	0.355140186915888	0.00783700798802221	0.0244087258697994	0.022067364597852	0.0372066179375186	0	black
chr13_999898	86	0.803738317757009	0.130393128196506	0.27482913622446	0.162233310663094	0.298270612425535	0	black
chr13_999899	82	0.766355140186916	0.129977084420192	0.275992843734389	0.169604244304397	0.304758974761572	0	black
chr13_999905	106	0.990654205607477	0.211798428294219	0.268034773134238	0.213796526674353	0.268506238825143	0	black
chr13_999906	81	0.757009345794392	0.121062961793011	0.262552340805005	0.159922677924101	0.29162469496256	0	black
chr13_999915	76	0.723809523809524	0.0983312255985205	0.224338396677289	0.135852351155851	0.254209498111836	0	black
chr13_999919	15	0.141509433962264	0.00201921308995816	0.0169049389507869	0.0142691058357043	0.0442272182328744	0	black
chr13_999921	40	0.373831775700935	0.0396530608344679	0.120595674310265	0.106071937732202	0.179728028665199	0	black
chr13_999922	27	0.252336448598131	0.00756363144874077	0.0256938847239874	0.0299743912968616	0.0446531098066953	0	black
chr13_999923	71	0.663551401869159	0.0881759224917047	0.214505532855778	0.132884840938203	0.252290007182	0	black
chr13_999924	13	0.121495327102804	0.0159457153404121	0.0888384694964438	0.131245503186469	0.230914393493734	0	black
chr13_999929	70	0.654205607476635	0.0284972557724053	0.0480213135549492	0.0435600909663909	0.0536374358100605	0	black
chr13_999933	72	0.672897196261682	0.0882562524342915	0.202034454212074	0.131158597367628	0.235017373444474	0	black
chr13_999937	72	0.672897196261682	0.0856295911139971	0.198606741565632	0.127255086794412	0.23133852913953	0	black
chr13_999942	80	0.754716981132076	0.0855401320830816	0.197253124430801	0.113340675010083	0.22028028466572	0	black
chr13_999944	73	0.682242990654206	0.0854655678055169	0.197026394739337	0.125271448701237	0.228243260122518	0	black
chr13_999957	83	0.775700934579439	0.0357145569136631	0.0405399031839166	0.0460416577079753	0.04053674933218	0	black
chr13_1000014	16	0.149532710280374	0.00159757221827408	0.0108228464876634	0.0106837642097079	0.0269109753586601	0	black
chr13_1000045	68	0.653846153846154	0.0810632878581843	0.204322707957385	0.123979146136047	0.242444471132621	0	black
chr13_1000049	97	0.923809523809524	0.121468982977619	0.218183538380851	0.131487043429382	0.224143022797377	0	black
chr13_1000052	51	0.476635514018692	0.0182181937396687	0.0434707812220076	0.0382224849047951	0.0568003231247633	0	black
chr13_1000055	51	0.476635514018692	0.044750897830418	0.117589714919963	0.0938891385853869	0.156869834571546	0	black
chr13_1000057	75	0.700934579439252	0.0936230289243138	0.214537542106383	0.133568854598688	0.246012249078246	0	black
chr13_1000060	54	0.504672897196262	0.0492045375883852	0.126160853093141	0.0974978800362447	0.164425617235718	0	black
chr13_1000064	55	0.514018691588785	0.0608762125776238	0.161310758368133	0.118431904469195	0.210085493175692	0	black
chr13_1000071	56	0.523364485981308	0.0732809211563765	0.189224398105839	0.140018902923791	0.243912282944624	0	black
chr13_1000084	59	0.551401869158878	0.0887690866230496	0.207251498501304	0.160988004553666	0.258212725555753	0	black
chr13_1000086	60	0.560747663551402	0.0907002696024693	0.208438355698717	0.161748814124404	0.257623198505878	0	black
chr13_1000092	58	0.547169811320755	0.103933491992408	0.224655076854395	0.189947416399919	0.276308013863039	0	black
chr13_1000095	69	0.650943396226415	0.120739081791191	0.251856312623143	0.185483227099511	0.292848597560386	0	black
chr13_1000096	61	0.575471698113208	0.125492617410087	0.269910565487123	0.218069138450315	0.327056490781627	0	black
chr13_1000097	84	0.792452830188679	0.148058088136618	0.292767538081518	0.186835206458113	0.317961752189078	0	black
chr13_1000098	21	0.19811320754717	0.00439781622319522	0.0214565398685131	0.0221985009361282	0.0447448918799765	0	black
chr13_1000105	62	0.584905660377358	0.13899428875529	0.299744323782683	0.237635396904206	0.361703186243464	0	black
chr13_1000113	63	0.594339622641509	0.158979899676467	0.326195484431088	0.267489989931833	0.388208644657763	0	black
chr13_1000119	86	0.811320754716981	0.191743321981354	0.363486928556515	0.236334792209575	0.390573877867238	0	black
chr13_1000123	56	0.538461538461538	0.159119838963828	0.348497951985602	0.295508272361394	0.431749416872173	0	black
chr13_1000124	55	0.528846153846154	0.160897870344277	0.348220743439697	0.304243245741906	0.432282684637845	0	black
chr13_1000133	49	0.471153846153846	0.165095184575287	0.356172327927197	0.350406106037345	0.453796004514998	0	red
chr13_1000137	28	0.269230769230769	0.00607098523000103	0.0216631024315431	0.0225493737114324	0.0374821958702928	0	black
chr13_1000139	95	0.913461538461538	0.246020513944481	0.346854964030374	0.269327720528695	0.354236073578015	0	black
chr13_1000141	50	0.480769230769231	0.160677062961712	0.348965416888272	0.33420829096036	0.443622335428678	0	red
chr13_1000142	29	0.278846153846154	0.0034417719150948	0.0219472032322429	0.012342906178271	0.0407198188290869	0	black
chr13_1000144	52	0.5	0.0264995524069447	0.0484894235582741	0.0529991048138893	0.0575895822898853	0	black
chr13_1000148	48	0.470588235294118	0.162711877947729	0.351864312076802	0.345762740638924	0.448795879379121	0	red
chr13_1000150	49	0.485148514851485	0.167565039026542	0.359507207796532	0.345389162075117	0.45449228834212	0	red
chr13_1000153	48	0.470588235294118	0.166008167722743	0.358079690669379	0.352767356410829	0.456349189240675	0	red
chr13_1000157	47	0.465346534653465	0.158519245233243	0.349772139370846	0.340647739756544	0.450074798802533	0	red
chr13_1000158	44	0.435643564356436	0.159905299661643	0.349896748377376	0.36705534695059	0.454875654449145	0	red
chr13_1000164	45	0.45	0.0103128603450518	0.0237708540208274	0.0229174674334484	0.0312400316196954	0	black
chr13_1000168	44	0.435643564356436	0.161444092393551	0.351028569470782	0.370587575721561	0.455249553185043	0	red
chr13_1000175	51	0.520408163265306	0.161301237706197	0.351970405603883	0.309951397945242	0.439701639053544	0	black
chr13_1000181	42	0.428571428571429	0.159363796757544	0.352541103246248	0.371848859100935	0.46162886272738	0	red
chr13_1000183	41	0.422680412371134	0.160772720102926	0.354125404500129	0.380364728048386	0.464067176523338	0	red
chr13_1000187	42	0.43298969072165	0.164880850673617	0.355852537504697	0.380796250365257	0.460735048932654	0	red
chr13_1000190	41	0.427083333333333	0.1712288622752	0.366003790167155	0.40092611654681	0.473030834512636	0	red
chr13_1000200	41	0.427083333333333	0.00397372279204022	0.0114809530430509	0.00930432653746003	0.0161931019807303	0	black
chr13_1000203	78	0.8125	0.19995378660102	0.356075484264193	0.246096968124332	0.380691133715067	0	black
chr13_1000209	41	0.422680412371134	0.183854092587333	0.374162832788991	0.434971877584666	0.473323227046345	0	red
chr13_1000214	40	0.421052631578947	0.171517531053013	0.367099304704177	0.407354136250905	0.475687300059392	0	red
chr13_1000231	68	0.731182795698925	0.194337519182875	0.385026013396751	0.26578513652952	0.429286847870565	0	black
chr13_1000235	75	0.797872340425532	0.191335716026258	0.382432212137535	0.23980743075291	0.414759261123961	0	black
chr13_1000237	40	0.425531914893617	0.184070743081956	0.385705381970769	0.432566246242596	0.494478564932712	0	red
chr13_1000242	44	0.458333333333333	0.202731993550963	0.398743048340431	0.442324349565738	0.492775960071197	0	red
chr13_1000245	43	0.452631578947368	0.194286237655717	0.392257280527209	0.429237036681235	0.491035122012615	0	red
chr13_1000248	43	0.447916666666667	0.192080352597032	0.390758674903324	0.428830554635235	0.491357849225397	0	red
chr13_1000256	35	0.448717948717949	0.0146669519306283	0.0331496470593299	0.0326863500168287	0.0433863079375424	0	black
chr13_1000289	9	0.111111111111111	0.00241003999242814	0.0159980205225334	0.0216903599318532	0.0457044296805097	0	black
chr13_1000291	18	0.222222222222222	0.00466689156552332	0.0252235031057121	0.0210010120448549	0.0512912179257387	0	black
chr13_1000334	11	0.123595505617978	0.00145090507570688	0.0101320233134469	0.011739141067083	0.027758546963694	0	black
chr13_1000342	34	0.382022471910112	0.00521055210235339	0.0161513009706751	0.0136393863855721	0.0240247963385878	0	black
chr13_1000357	23	0.258426966292135	0.00313524264903427	0.014116309673977	0.0121320259027848	0.0261336997028294	0	black
chr13_1000366	45	0.50561797752809	0.0408978296816838	0.167401433008706	0.0808868187037747	0.229648392574162	0	black
chr13_1000374	30	0.32967032967033	0.0370298978806587	0.164923621758368	0.112324023571331	0.275071270813703	0	black
chr13_1000376	51	0.56043956043956	0.0422919574643841	0.170016652057242	0.0754621201815481	0.222434347475033	0	black
chr13_1000381	33	0.358695652173913	0.0067729182551602	0.0184232759844986	0.0188820751355981	0.0270078909687756	0	black
chr13_1000385	32	0.351648351648352	0.0575611069014135	0.212877626441315	0.163689397750894	0.337094469055614	0	black
chr13_1000389	62	0.696629213483146	0.0621461661570073	0.092859616254135	0.0892098191608653	0.0999283866951425	0	black
chr13_1000391	38	0.426966292134831	0.0256645565291619	0.0555131326006337	0.0601090929235634	0.0721323784073612	0	black
chr13_1000394	31	0.344444444444444	0.024997537869393	0.0775669450071345	0.0725734970401731	0.119505200660175	0	black
chr13_1000395	30	0.333333333333333	0.0249225872568669	0.0775320294199661	0.0747677617706008	0.120801036640388	0	black
chr13_1000404	48	0.51063829787234	0.0512742841100433	0.176227076493589	0.100412139715502	0.2375124894744	0	black
chr13_1000450	17	0.188888888888889	0.00189833360791904	0.011813163607151	0.0100500014536891	0.0262527517718733	0	black
chr13_1000451	16	0.179775280898876	0.00796562438990119	0.0285464140101019	0.0443087856688253	0.0553448948271438	0	black
chr13_1000463	61	0.67032967032967	0.0389011315105678	0.121747534195243	0.0580328355321585	0.145275330460643	0	black
chr13_1000534	9	0.103448275862069	0.0017920201607017	0.0128542110227498	0.0173228615534497	0.0383870033185034	0	black
chr13_1000640	61	0.74390243902439	0.19918985583719	0.217387390522251	0.267763412764748	0.212437779709542	0	black
chr13_1000642	8	0.0975609756097561	0.00352265210645318	0.024626427078349	0.0361071840911451	0.0753193659436783	0	black
chr13_1000647	76	0.926829268292683	0.133409596638145	0.114635827858398	0.143941933214841	0.112500773557883	0	black
chr13_1000668	13	0.154761904761905	0.00385496152122436	0.0157017865130571	0.024908982137142	0.033721508184138	0	black
chr13_1000681	14	0.164705882352941	0.00346771502727493	0.0159429011156447	0.0210539840941692	0.0352650815022109	0	black
chr13_1000711	26	0.30952380952381	0.00412088581784394	0.0172872416127235	0.0133136311038035	0.0294090698017353	0	black
chr13_1000724	15	0.178571428571429	0.00317033524526516	0.0155290673182229	0.0177538773734849	0.033945222741943	0	black
chr13_1000727	7	0.0833333333333333	0.00358355222454761	0.0167607322708327	0.0430026266945714	0.0436857565089708	0	black
chr13_1000735	33	0.388235294117647	0.00348067190618458	0.0119006685463863	0.00896536703108148	0.017918121531956	0	black
chr13_1000744	18	0.219512195121951	0.00628513257956034	0.0253410090792047	0.0286322706402193	0.0488082795191737	0	black
chr13_1000763	72	0.808988764044944	0.0779901736750732	0.0884354064921106	0.0964045202372432	0.0888435853722223	0	black
chr13_1000772	44	0.463157894736842	0.0945422914601086	0.270123969841761	0.204125402016144	0.369621789978775	0	black
chr13_1000773	44	0.463157894736842	0.0945298078166746	0.270128054248753	0.204098448695093	0.369636491182708	0	black
chr13_1000777	94	0.989473684210526	0.511290854611915	0.298138548550734	0.516730119022681	0.294960184377838	0	red
chr13_1000783	13	0.136842105263158	0.0024418927995216	0.0144004056727931	0.0178446012272733	0.036423230666915	0	black
chr13_1000786	28	0.294736842105263	0.0071136461909862	0.0218986962882521	0.024135585290846	0.035263351847404	0	black
chr13_1000789	49	0.515789473684211	0.100742856903847	0.26469532081516	0.195317783793174	0.344021665923111	0	black
chr13_1000790	33	0.354838709677419	0.0699781942675824	0.220152557991888	0.197211274754096	0.336848832700043	0	black
chr13_1000794	11	0.118279569892473	0.0045029412561833	0.0278909989573303	0.0380703215295498	0.075835604528512	0	black
chr13_1000795	41	0.436170212765957	0.0710139280923539	0.218879600145672	0.162812420504421	0.309947038048218	0	black
chr13_1000797	79	0.831578947368421	0.077973183197194	0.220306315935328	0.0937652203004231	0.238727913030002	0	black
chr13_1000803	32	0.333333333333333	0.0647554267904917	0.213266122136045	0.194266280371475	0.336764718933384	0	black
chr13_1000804	63	0.65625	0.00984139927762373	0.0404187561066573	0.0149964179468552	0.0492408295018991	0	black
chr13_1000813	74	0.762886597938144	0.0720658717065723	0.214466511841872	0.0944647237234799	0.241542651446803	0	black
chr13_1000815	40	0.412371134020619	0.0156084883864121	0.0384995898070586	0.0378505843370494	0.0527738072963251	0	black
chr13_1000820	31	0.316326530612245	0.0677948631391247	0.22827810532236	0.214319244762394	0.368838890654437	0	black
chr13_1000855	25	0.263157894736842	0.00809834655045132	0.0317778883582686	0.030773716891715	0.0568181595228635	0	black
chr13_1000890	67	0.736263736263736	0.0479391965616652	0.114958812310058	0.0651114460762915	0.129946620603379	0	black
chr13_1000923	60	0.625	0.051813096008314	0.124181198609478	0.0829009536133024	0.149028456837427	0	black
chr13_1000959	33	0.34020618556701	0.00427500094421859	0.0170965687809568	0.0125659118663395	0.0277387710985693	0	black
chr13_1000960	50	0.515463917525773	0.0309817798803363	0.0549535253234276	0.0601046529678525	0.0642680016467666	0	black
chr13_1000975	68	0.693877551020408	0.0239169447722007	0.0417984245944269	0.034468538054054	0.0464786969869237	0	black
chr13_1001012	52	0.530612244897959	0.143138645662079	0.324393504434942	0.269761293747765	0.406592991264128	0	black
chr13_1001013	51	0.520408163265306	0.143090453756428	0.324414704918678	0.274958126826078	0.408891009127408	0	black
chr13_1001014	51	0.520408163265306	0.143051130415916	0.324430836009523	0.274882564328622	0.408940688610391	0	black
chr13_1001016	55	0.572916666666667	0.14955815108588	0.328763987011056	0.261046954622626	0.400634622139842	0	black
chr13_1001020	51	0.515151515151515	0.138447063617386	0.321294226876828	0.268750182316102	0.408180590664245	0	black
chr13_1001025	51	0.515151515151515	0.136266348382234	0.31544733864327	0.264517029212572	0.400538121914098	0	black
chr13_1001028	53	0.535353535353535	0.141000579096175	0.317170680154489	0.263378440198515	0.39589844208489	0	black
chr13_1001034	31	0.313131313131313	0.00569698072477399	0.0220626990452285	0.0181935836049234	0.0368124280961873	0	black
chr13_1001037	55	0.555555555555556	0.142622197699607	0.316885836234042	0.256719955859292	0.390389540147411	0	black
chr13_1001045	56	0.554455445544555	0.139330145319352	0.314187597401835	0.251291869236688	0.388372376755969	0	black
chr13_1001064	73	0.73	0.0805052516819179	0.0956381541957274	0.110281166687559	0.0961630013816063	0	black
chr13_1001067	44	0.44	0.0628505062182849	0.227887670456793	0.142842059587011	0.328442245888885	0	black
chr13_1001068	42	0.424242424242424	0.11144059112072	0.294599707231128	0.262681393355982	0.408350002290629	0	black
chr13_1001069	68	0.693877551020408	0.166700153899004	0.354722505216926	0.240244339442683	0.405261263672894	0	black
chr13_1001070	42	0.424242424242424	0.105694798669665	0.283050784205716	0.249137739721353	0.393563551949237	0	black
chr13_1001072	42	0.424242424242424	0.105340135713227	0.282963684695709	0.248301748466892	0.393725415607526	0	black
chr13_1001084	91	0.900990099009901	0.120082807999416	0.26588438132564	0.133278720966385	0.27707611454636	0	black
chr13_1001086	69	0.683168316831683	0.0252293259079449	0.0689351723289029	0.03692988285076	0.0809312421310671	0	black
